Viral protein,Human protein,Link,Supplementary,Reference,Useful information
Nsp13,CEP135,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-34",
Nsp13,CEP250,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-35",
Orf9b,CHMP2A,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-36",
Orf8,CHPF,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-37",
Orf8,CHPF2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-38",
Orf3a,CLCC1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-39",
Nsp13,CLIP4,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-40",
Orf8,COL6A1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-41",
Nsp7,COMT,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-42",
Nsp12,CRTC3,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-43",
Orf9b,CSDE1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-44",
N,CSNK2A2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-45",
Nsp7,CYB5B,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-46",
Nsp7,CYB5R3,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-47",
Nsp9,DCAF7,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-48",
Nsp7,DCAKD,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-49",
Orf9b,DCTPP1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-50",
Nsp8,DDX10,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-51",
N,DDX21,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-52",
Nsp4,DNAJC11,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-53",
Orf8,DNMT1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-54",
Orf9b,DPH5,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-55",
Orf9c,DPY19L1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-56",
Orf9c,ECSIT,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-57",
Orf8,EMC1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-58",
Nsp13,ERC1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-59",
Orf9c,ERMP1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-60",
Orf8,ERO1B,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-61",
Orf8,ERP44,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-62",
Nsp8,EXOSC2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-63",
Nsp8,EXOSC3,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-64",
Nsp8,EXOSC5,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-65",
Orf9c,F2RL1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-66",
M,FAM8A1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-67",
Orf9c,FAR2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-68",
M,FASTKD5,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-69",
Nsp9,FBLN5,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-70",
Nsp9,FBN1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-71",
Nsp9,FBN2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-72",
Orf8,FKBP10,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-73",
Orf8,FOXRED2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-74",
Nsp13,FYCO1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-75",
N,G3BP1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-76",
N,G3BP2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-77",
Nsp13,GCC2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-78",
Orf8,GDF15,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-79",
Orf8,GGH,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-80",
Orf9c,GHITM,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-81",
Nsp14,GLA,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-82",
Nsp7,GNB1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-83",
Nsp13,GOLGA2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-84",
Spike,GOLGA7,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-85",
Orf9c,GPAA1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-86",
Nsp13,GRIPAP1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-87",
Nsp5,HDAC2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-88",
Orf3a,HMOX1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-89",
Nsp13,HOOK1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-90",
Nsp7,HS2ST1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-91",
Orf8,HS6ST2,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-92",
Nsp13,HSBP1,https://www.preprints.org/manuscript/202005.0333/v1,https://www.nature.com/articles/s41586-020-2286-9/figures/3,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-93",
